./Experiments/cifar10-simclr_resnet18-clean
Use GPU: 0 for training
=> creating cnn model 'resnet18'
CIFAR-variant Resnet is loaded
Files already downloaded and verified
Files already downloaded and verified
Initializing Poison data (chosen images, examples, sources, labels) with random seed 7777
main_train.py:124: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
/home/jianzhang/anaconda3/envs/ctrl/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:152: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
[223-epoch] time:42.577 | knn acc: 79.091 | loss:37.416 | cl_loss:37.416
[224-epoch] time:42.446 | knn acc: 78.156 | loss:37.396 | cl_loss:37.396
[225-epoch] time:42.217 | knn acc: 80.016 | loss:37.399 | cl_loss:37.399
[226-epoch] time:42.225 | knn acc: 78.382 | loss:37.409 | cl_loss:37.409
[227-epoch] time:42.428 | knn acc: 77.868 | loss:37.417 | cl_loss:37.417
[228-epoch] time:42.231 | knn acc: 78.310 | loss:37.413 | cl_loss:37.413
[229-epoch] time:42.276 | knn acc: 80.839 | loss:37.394 | cl_loss:37.394
[230-epoch] time:42.377 | knn acc: 78.629 | loss:37.395 | cl_loss:37.395
[231-epoch] time:42.444 | knn acc: 80.356 | loss:37.385 | cl_loss:37.385
[232-epoch] time:42.530 | knn acc: 78.917 | loss:37.382 | cl_loss:37.382
[233-epoch] time:42.420 | knn acc: 78.834 | loss:37.381 | cl_loss:37.381
[234-epoch] time:42.497 | knn acc: 81.209 | loss:37.394 | cl_loss:37.394
[235-epoch] time:42.259 | knn acc: 79.431 | loss:37.379 | cl_loss:37.379
[236-epoch] time:42.216 | knn acc: 80.541 | loss:37.391 | cl_loss:37.391
[237-epoch] time:42.456 | knn acc: 80.068 | loss:37.385 | cl_loss:37.385
[238-epoch] time:42.584 | knn acc: 77.755 | loss:37.420 | cl_loss:37.420
[239-epoch] time:42.749 | knn acc: 78.906 | loss:37.363 | cl_loss:37.363
[240-epoch] time:42.437 | knn acc: 80.078 | loss:37.359 | cl_loss:37.359
[241-epoch] time:42.425 | knn acc: 81.343 | loss:37.395 | cl_loss:37.395
[242-epoch] time:42.536 | knn acc: 79.986 | loss:37.383 | cl_loss:37.383
[243-epoch] time:42.433 | knn acc: 80.335 | loss:37.382 | cl_loss:37.382
[244-epoch] time:42.439 | knn acc: 81.723 | loss:37.382 | cl_loss:37.382
[245-epoch] time:42.326 | knn acc: 80.171 | loss:37.350 | cl_loss:37.350
[246-epoch] time:42.234 | knn acc: 80.685 | loss:37.386 | cl_loss:37.386
[247-epoch] time:42.243 | knn acc: 79.338 | loss:37.385 | cl_loss:37.385
[248-epoch] time:42.369 | knn acc: 79.492 | loss:37.393 | cl_loss:37.393
[249-epoch] time:42.413 | knn acc: 79.903 | loss:37.395 | cl_loss:37.395
